OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,NOTES,TENANT,LABEL,DPP_ASSET_ID,PPR_USE,Shape__Area,Shape__Length
1,"William H. ""Billy"" Markward Memorial Playground","William H. ""Billy"" Markward Memorial Playground",Schuylkill River Park,400 S TANEY ST,LAND,PROGRAM,146245.12873326,3.35733962,19103,"Markward, Markward Playground",MAP,NOT_SITE,Markward ,1903,RECREATION_SITE,23145.09765625,877.866251186247
2,Schuylkill Banks,Schuylkill Banks,Schuylkill Banks,400 S TANEY ST,LAND,NO_PROGRAM,772990.23129105,17.74548492,19103,,MAP,SITE,Schuylkill Banks,2794,GREENWAY_PARKWAY,122363.33984375,8830.86248103494
3,Schuylkill River Park,Schuylkill River Park,Schuylkill River Park,400 S TANEY ST,LAND,NO_PROGRAM,317521.3726464,7.28931687,19103,,MAP,SITE,Schuylkill River Park,2992,RECREATION_SITE,50252.60546875,1262.92453454622
4,Peter's Island,Peter's Island,Peter's Island,,LAND,NO_PROGRAM,85759.4333537,1.96877356,19131,,MAP,SITE,Peter's Island,3111,REGIONAL_CONSERVATION_WATERSHED,13588.71484375,672.238882353863
5,Frankford Boat Launch,Frankford Boat Launch,Frankford Boat Launch,5625 TACONY ST,LAND,NO_PROGRAM,472037.82762269,10.83654077,19137,"PA Fish & Boat;Frankford Arsenal Boat Launch",MAP,SITE,Frankford Boat Launch,3090,OTHER,74836.4453125,1437.11539054517
6,Orthodox Street Parcel,Orthodox Street Parcel,Orthodox Street Parcel,3101 ORTHODOX ST,LAND,NO_PROGRAM,457597.04880592,10.50502478,19137,,MAP,SITE,Orthodox,3091,NEIGHBORHOOD_PARK,72513.1953125,1323.11755866904
7,Wissahickon Valley Park,Wissahickon Valley Park,Wissahickon Valley Park,,LAND,NO_PROGRAM,90783090.6152761,2084.10132573,19128, ,MAP,SITE,Wissahickon Valley Park,1357,REGIONAL_CONSERVATION_WATERSHED,14411615.6523438,71462.5567023467
8,West Fairmount Park,West Fairmount Park,West Fairmount Park, ,LAND,NO_PROGRAM,60781590.1062533,1395.35888965,19131, ,MAP,SITE,West Fairmount Park,1714,REGIONAL_CONSERVATION_WATERSHED,9631202.52734375,25967.8190637239
9,82nd & Lyons Park,82nd & Lyons Park,82nd & Lyons Park,8200 LYONS AVE,LAND,NO_PROGRAM,136198.70826878,3.12670462,19153,,MAP,SITE,82nd & Lyons Park,1263,MINI_PARK,21523.6640625,726.388835579353
10,Verree & Susquehanna Playground,Verree & Susquehanna Playground,Pennypack Park,8543 VERREE RD,LAND,NO_PROGRAM,167858.21362111,3.85350976,19111,"Champions; Pennypack Park Playground",MAP,NOT_SITE,Verree & Susquehanna ,1371,RECREATION_SITE,26669.2109375,1049.85266415715
